# SCM-normalized mRNA and protein measurements, with imputed values, for haploid budding yeast (S.cerevisiae) growing exponentially in rich medium with glucose 
#
# Generated Thu Nov 27 20:29:19 2014 
#
# Citation:
#   "Accounting for experimental noise reveals that transcript levels,
#   amplified by post-transcriptional regulation, largely determine steady-state protein levels in yeast,"
#   Gábor Csárdi, Alexander Franks, David S. Choi, Eduardo M. Airoldi, and D. Allan Drummond, PLoS Genetics, 2015
#
# orf = Systematic yeast ORF (open reading frame) identifier
# gene = Common gene name
# mrna.causton.acid.a = Causton et al. 2001 (acid treatment, 0 min, replicate a)
# mrna.causton.acid.b = Causton et al. 2001 (acid treatment, 0 min, replicate b)
# mrna.causton.nacl = Causton et al. 2001 (NaCl treatment, 0 min)
# mrna.causton.peroxide.a = Causton et al. 2001 (peroxide treatment, 0 min, replicate a)
# mrna.causton.peroxide.b = Causton et al. 2001 (peroxide treatment, 0 min, replicate b)
# mrna.dudley.3a = Dudley et al. 2002 (+glucose oligo slide 3a)
# mrna.dudley.3b = Dudley et al. 2002 (+glucose oligo slide 3b)
# mrna.dudley.3c = Dudley et al. 2002 (+glucose oligo slide 3c)
# mrna.dudley.3d = Dudley et al. 2002 (+glucose oligo slide 3d)
# mrna.garcia = Garcia-Martinez et al. 2004 (custom microarray)
# mrna.holstege = Holstege et al. 1998 (Affymetrix GeneChip YE6100 array)
# mrna.ingolia.1 = Ingolia et al. 2009 RNA-Seq (mRNA, rich medium, 1)
# mrna.ingolia.2 = Ingolia et al. 2009 RNA-Seq (mRNA, rich medium, 2)
# mrna.ingolia.ca = Ingolia 2010 (RNA-Seq, circular amplification)
# mrna.ingolia.ca.late = Ingolia 2010 (RNA-Seq, circular amplification, late)
# mrna.ingolia.rq = Ingolia 2010 (RNA-Seq, requantified)
# mrna.ingolia.rq.late = Ingolia 2010 RNA-Seq, requantified, late)
# mrna.lipson.rs07 = Lipson et al. 2009 (single-molecule sequencing [smsDGE] ch7)
# mrna.lipson.rs08 = Lipson et al. 2009 (single-molecule sequencing [smsDGE] ch8)
# mrna.lipson.rs09 = Lipson et al. 2009 (single-molecule sequencing [smsDGE] ch9)
# mrna.lipson.rs10 = Lipson et al. 2009 (single-molecule sequencing [smsDGE] ch10)
# mrna.lipson.rs11 = Lipson et al. 2009 (single-molecule sequencing [smsDGE] ch11)
# mrna.lipson.rs12 = Lipson et al. 2009 (single-molecule sequencing [smsDGE] ch12)
# mrna.lipson.ma = Lipson et al. 2009 (Affymetrix Yeast Genome 2.0 array)
# mrna.mackay = MacKay et al. 2004 (custom microarray)
# mrna.miura.1 = Miura et al. 2008 (competitive PCR, replicate 1)
# mrna.miura.2 = Miura et al. 2008 (competitive PCR, replicate 2)
# mrna.miura.3 = Miura et al. 2008 (competitive PCR, replicate 3)
# mrna.miura.4 = Miura et al. 2008 (competitive PCR, replicate 4)
# mrna.nagalakshmi = Nagalakshmi et al. 2008 RNA-Seq
# mrna.pelechano = Pelechano & Ortin, 2010 (custom microarray)
# mrna.roth.a = Roth 1998 (a cells, Affymetrix yeast antisense A-D array)
# mrna.roth.alpha = Roth 1998 (alpha cells, Affymetrix yeast antisense A-D array)
# mrna.velc = Velculescu 1997 (SAGE)
# mrna.yassour.ypd0.1 = Yassour et al. 2009 RNA-Seq (YPD, 0 minutes, 1)
# mrna.yassour.ypd0.2 = Yassour et al. 2009 RNA-Seq (YPD, 0 minutes, 2)
# mrna.yassour.ypd15.1 = Yassour et al. 2009 RNA-Seq (YPD, 15 minutes, 1)
# mrna.yassour.ypd15.2 = Yassour et al. 2009 RNA-Seq (YPD, 15 minutes, 2)
# prot.gygi = Gygi et al. 1999 (2D gel scintillation counting)
# prot.futcher = Futcher et al. 1999 (2D gel scintillation counting)
# prot.washburn = Washburn et al. 2001 (LC MS/MS, reported by Greenbaum et al. Genome Biology 2003, Volume 4, Issue 9, Article 117, Supplementary Table 4)
# prot.peng = Peng et al. 2003 (LC MS/MS, reported by Greenbaum et al. Genome Biology 2003, Volume 4, Issue 9, Article 117, Supplementary Table 4)
# prot.ghaem = Ghaemmaghami et al. 2003 (anti-TAP-tag western)
# prot.newman = Newman et al. 2006 (GFP signal quantified by flow cytometry)
# prot.lu = Lu et al. 2007 (APEX protein-level estimates)
# prot.degodoy = de Godoy et al. 2008a (LC MS/MS MaxQuant intensity values)
# prot.thakur.1 = Thakur et al. 2011 (LC MS/MS MaxQuant intensity values, replicate 1)
# prot.thakur.2 = Thakur et al. 2011 (LC MS/MS MaxQuant intensity values, replicate 2)
# prot.thakur.3 = Thakur et al. 2011 (LC MS/MS MaxQuant intensity values, replicate 3)
# prot.lee.1 = Lee et al. 2011 (TMT intensity values, replicate 1)
# prot.lee.2 = Lee et al. 2011 (TMT intensity values, replicate 2)
# prot.lee.3 = Lee et al. 2011 (TMT intensity values, replicate 3)
# prot.nagaraj.1 = Nagaraj et al. 2012 (LC MS/MS MaxQuant intensity values, replicate 1)
# prot.nagaraj.2 = Nagaraj et al. 2012 (LC MS/MS MaxQuant intensity values, replicate 2)
# prot.nagaraj.3 = Nagaraj et al. 2012 (LC MS/MS MaxQuant intensity values, replicate 3)
# prot.nagaraj.4 = Nagaraj et al. 2012 (LC MS/MS MaxQuant intensity values, replicate 4)
# prot.nagaraj.5 = Nagaraj et al. 2012 (LC MS/MS MaxQuant intensity values, replicate 5)
# prot.nagaraj.6 = Nagaraj et al. 2012 (LC MS/MS MaxQuant intensity values, replicate 6)
orf	gene	mrna.causton.acid.a	mrna.causton.acid.b	mrna.causton.nacl	mrna.causton.peroxide.a	mrna.causton.peroxide.b	mrna.dudley.3a	mrna.dudley.3b	mrna.dudley.3c	mrna.dudley.3d	mrna.garcia	mrna.holstege	mrna.ingolia.1	mrna.ingolia.2	mrna.ingolia.ca	mrna.ingolia.ca.late	mrna.ingolia.rq	mrna.ingolia.rq.late	mrna.lipson.rs07	mrna.lipson.rs08	mrna.lipson.rs09	mrna.lipson.rs10	mrna.lipson.rs11	mrna.lipson.rs12	mrna.lipson.ma	mrna.mackay	mrna.miura.1	mrna.miura.2	mrna.miura.3	mrna.miura.4	mrna.nagalakshmi	mrna.pelechano	mrna.roth.a	mrna.roth.alpha	mrna.velc	mrna.yassour.ypd0.1	mrna.yassour.ypd0.2	mrna.yassour.ypd15.1	mrna.yassour.ypd15.2	prot.gygi	prot.futcher	prot.washburn	prot.peng	prot.ghaem	prot.newman	prot.lu	prot.degodoy	prot.thakur.1	prot.thakur.2	prot.thakur.3	prot.lee.1	prot.lee.2	prot.lee.3	prot.nagaraj.1	prot.nagaraj.2	prot.nagaraj.3	prot.nagaraj.4	prot.nagaraj.5	prot.nagaraj.6
Q0045	COX1	-2.617969	-2.594817	-1.98807	-2.6004447	-2.738940	-3.772597	-3.703815	-3.613381	-3.785996	-3.592421	-3.1088	-0.966911	-1.0948171	-1.078054	-1.20638	-0.134438	-0.072460	-5.489864	-4.819125	-4.238118	-4.40374	-5.0896905	-4.81257	-4.641479	-0.757096	-1.81651	-1.981496	-1.976137	-2.3088	-1.41350	-3.342919	-3.044471	-3.20878	-3.567066	-3.8370133	-3.787808	-3.547504	-3.539566	 -5.26852	 -4.283031	 -2.46069	  1.477140	-2.41844	-3.4021138	  2.66933	 -0.6042965	 -2.729359	 -3.3018280	 -2.6266587	 -0.173809	  0.333996	  1.76487	  1.89841	  1.07336	  2.19111	  1.4087453	  1.51368	  1.57522
Q0050	AI1	-2.396791	-2.477833	-3.75790	-2.5828983	-2.306807	-4.716186	-4.806458	-5.169666	-5.068014	-3.851684	-2.5856	-1.329914	-1.1977587	-1.002170	-1.52784	 0.041573	-0.129371	-4.573573	-4.795364	-5.085416	-6.19549	-4.2423926	-5.10026	-3.275772	-4.371607	-4.68004	-3.684957	-3.745179	-4.1785	-2.92252	-4.260185	-3.114716	-2.80424	-4.899432	-3.3686393	-3.732060	-3.265937	-3.466962	 -2.28962	 -4.803785	 -4.00643	 -1.688213	-4.15390	-4.5337207	  2.95157	 -4.9805024	 -3.288859	 -4.1991620	 -4.2518558	 -3.302591	 -1.964481	 -2.24253	 -1.51647	 -1.78948	 -1.36546	 -2.2780026	 -1.79872	 -1.21600
Q0055	AI2	-3.224641	-3.894613	-3.51945	-3.8088641	-3.464648	-6.189577	-6.307223	-6.159430	-6.332885	-3.455756	-3.3699	-1.799293	-2.1311742	-2.004473	-1.96961	-0.804982	-0.417009	-6.183011	-5.488511	-6.184028	-6.19549	-6.1401031	-6.19887	-2.216846	-7.176521	-5.59453	-5.446162	-5.314752	-5.9529	-4.64971	-4.715246	-4.463745	-4.88496	-3.815144	-4.8793441	-4.811436	-4.928362	-4.997715	 -2.71629	 -2.790409	 -0.52446	 -1.950785	-4.10369	-5.1276185	 -2.98198	 -2.5972946	 -1.489407	 -1.5612080	 -1.2861708	 -3.906616	 -4.325797	 -4.75227	 -2.91477	 -2.84495	 -3.35446	 -4.0216059	 -3.61563	 -2.93012
Q0060	AI3	-3.606392	-2.930824	-3.84737	-3.4744157	-3.313957	-6.281022	-5.437785	-4.927408	-6.643871	-3.560745	-3.5503	-2.301315	-2.3699443	-2.406203	-2.22050	-2.326889	-2.614409	-6.474846	-6.358623	-6.209210	-6.39013	-6.1883027	-6.19887	-3.150540	-3.795529	-5.03948	-4.379710	-4.678778	-4.4586	-3.99644	-5.465159	-3.443777	-2.92246	-4.315462	-4.8296668	-4.491005	-4.927302	-4.814153	 -3.07809	 -5.095849	 -5.32514	 -3.376793	-4.08992	-4.3425010	  5.51688	 -5.6280542	 -2.778246	 -3.6422645	 -3.6471846	 -5.057667	 -5.698659	 -5.21328	 -8.36924	 -8.83418	 -8.36321	 -9.1148935	 -9.15003	 -9.11726
Q0065	AI4	-3.194928	-3.474326	-4.00871	-3.6380174	-3.663191	-3.331606	-4.584253	-4.991425	-4.423421	-4.648821	-4.1021	-1.618869	-1.4556789	-1.404617	-1.68175	-1.036738	-0.822649	-6.210432	-5.997975	-6.184028	-5.79674	-6.1280409	-6.19887	-3.972336	-4.747544	-4.45973	-4.827522	-4.897161	-5.3495	-4.50888	-3.447267	-4.006879	-3.16137	-3.402562	-4.6671416	-4.583306	-4.497223	-4.773705	 -5.99284	 -7.897518	-12.43943	 -5.248090	-7.18921	-5.5304503	 -2.79166	 -6.0530175	 -6.985502	 -7.5522675	 -8.0690724	 -6.092508	 -6.840493	 -4.69684	 -6.70277	 -6.45263	 -6.02067	 -5.9547295	 -6.39345	 -6.28584
Q0070	AI5_ALPHA	-3.572490	-3.778027	-4.17809	-3.5869069	-3.705214	-4.903744	-4.393559	-4.560215	-5.221723	-5.382859	-3.8181	-2.417916	-2.3298132	-2.206143	-1.96961	-1.522328	-1.515796	-4.717358	-4.235748	-5.490881	-4.40374	-5.0896905	-4.98498	-3.140956	-3.130869	-7.27999	-6.521744	-6.722434	-7.1968	-4.79628	-5.380923	-2.595847	-2.45355	-3.395692	-4.3740635	-4.382079	-4.142294	-4.059473	 -6.50539	 -7.505935	-12.73597	 -8.251822	-7.18276	-7.5557649	 -5.32735	-10.2478142	 -7.343010	 -7.4098093	 -8.1477043	 -9.667041	 -9.934217	-11.49643	-10.51717	-10.15196	-10.54163	-10.3323616	-10.22472	-10.23011
Q0075	AI5_BETA	-2.862314	-3.458844	-3.70362	-3.0117319	-2.952737	-5.495251	-5.109418	-5.174345	-4.980825	-3.851053	-3.1688	-1.576749	-1.4075711	-1.301643	-1.61167	-2.574130	-2.623887	-5.358090	-5.450571	-5.490881	-5.43516	-5.4951556	-5.50572	-1.710630	-4.227833	-3.57807	-4.320085	-4.362045	-4.2658	-4.12146	-3.760561	-2.502386	-2.74316	-1.352240	-3.7446870	-4.204108	-4.083006	-3.984108	 -9.79775	 -6.782642	 -6.51208	 -4.963758	-5.68997	-4.0546121	-16.64484	 -5.3845226	 -4.831986	 -5.0931158	 -5.2545191	 -5.335933	 -5.139036	 -4.97904	 -6.90508	 -6.63081	 -7.14268	 -7.1036512	 -7.34134	 -7.44358
Q0080	ATP8	-3.864274	-4.602290	-5.17003	-4.3228628	-3.917888	-5.196837	-4.685914	-5.030327	-3.909241	-2.609680	-3.6640	-1.623810	-0.5908052	-0.346245	-0.44207	-0.866061	-0.968839	-6.463088	-6.569804	-6.547183	-6.56772	-6.6129396	-6.68897	-3.242688	-6.050576	-3.84131	-4.505932	-4.294998	-4.7249	-1.07703	-2.994315	-3.440453	-3.90329	-3.296276	-4.0724895	-4.513273	-3.974820	-4.262920	 -7.91204	 -8.465999	 -6.23472	 -9.480915	-5.97180	-7.0998393	 -6.00452	 -9.0574451	 -5.072101	 -5.9350105	 -5.9709091	 -9.012099	-10.307160	 -9.77100	 -9.14635	 -9.85898	 -9.45949	 -9.7956350	 -9.03111	 -9.44121
Q0085	ATP6	-2.380547	-2.833544	-3.24335	-2.6698508	-2.605106	-4.270506	-4.960141	-5.051743	-5.455151	-3.496654	-2.4284	-1.030405	-1.5178301	-1.677887	-1.96961	-0.425492	-0.742606	-4.796717	-5.488511	-6.184028	-4.40374	-4.1088612	-4.40711	-4.397877	-4.551923	-2.11794	-2.425242	-2.735942	-2.4167	-0.82572	-4.772770	-2.999798	-3.20307	-2.108343	-3.2607810	-2.764097	-2.958224	-3.342710	 -4.36772	 -4.882195	 -1.68464	  0.295893	-3.94516	-2.2797963	 -2.38562	  1.0974850	 -4.587238	 -2.1829232	 -3.8235762	 -2.760442	 -2.013618	 -1.58583	 -3.57895	 -3.73137	 -3.12212	 -3.8285485	 -4.28558	 -3.62448
Q0105	COB	-2.994229	-3.364857	-4.56321	-3.1649349	-3.152415	-4.724494	-5.582025	-5.826375	-5.878444	-4.890698	-2.6219	-1.976013	-1.4808857	-1.450003	-1.54619	-0.679146	-0.782330	-6.183011	-4.795364	-5.796219	-5.78208	-6.1883027	-5.50572	-3.573200	-5.041468	-4.14759	-4.483470	-4.409838	-4.0857	-0.38389	-4.128785	-2.293878	-2.72487	-1.406730	-3.2826702	-3.615555	-3.363386	-3.387018	-10.27306	 -9.607501	 -2.52193	 -1.512398	-5.10929	-6.1274770	  5.51363	 -0.6661996	 -0.646318	 -0.1812570	 -0.5854472	 -0.830205	 -1.249785	 -0.87593	 -5.53132	 -6.76863	 -5.03216	 -4.9776140	 -5.16942	 -5.44472
