# Raw mRNA and protein measurements 
#
# Generated Thu Nov 27 20:16:55 2014 
#
# Citation:
#   "Accounting for experimental noise reveals that transcript levels,
#   amplified by post-transcriptional regulation, largely determine steady-state protein levels in yeast,"
#   Gábor Csárdi, Alexander Franks, David S. Choi, Eduardo M. Airoldi, and D. Allan Drummond, PLoS Genetics, 2015
#
# orf = Systematic yeast ORF (open reading frame) identifier
# gene = Common gene name
# mrna.causton.acid.a = Causton et al. 2001 (acid treatment, 0 min, replicate a)
# mrna.causton.acid.b = Causton et al. 2001 (acid treatment, 0 min, replicate b)
# mrna.causton.nacl = Causton et al. 2001 (NaCl treatment, 0 min)
# mrna.causton.peroxide.a = Causton et al. 2001 (peroxide treatment, 0 min, replicate a)
# mrna.causton.peroxide.b = Causton et al. 2001 (peroxide treatment, 0 min, replicate b)
# mrna.dudley.3a = Dudley et al. 2002 (+glucose oligo slide 3a)
# mrna.dudley.3b = Dudley et al. 2002 (+glucose oligo slide 3b)
# mrna.dudley.3c = Dudley et al. 2002 (+glucose oligo slide 3c)
# mrna.dudley.3d = Dudley et al. 2002 (+glucose oligo slide 3d)
# mrna.garcia = Garcia-Martinez et al. 2004 (custom microarray)
# mrna.holstege = Holstege et al. 1998 (Affymetrix GeneChip YE6100 array)
# mrna.ingolia.1 = Ingolia et al. 2009 RNA-Seq (mRNA, rich medium, 1)
# mrna.ingolia.2 = Ingolia et al. 2009 RNA-Seq (mRNA, rich medium, 2)
# mrna.ingolia.ca = Ingolia 2010 (RNA-Seq, circular amplification)
# mrna.ingolia.ca.late = Ingolia 2010 (RNA-Seq, circular amplification, late)
# mrna.ingolia.rq = Ingolia 2010 (RNA-Seq, requantified)
# mrna.ingolia.rq.late = Ingolia 2010 RNA-Seq, requantified, late)
# mrna.lipson.rs07 = Lipson et al. 2009 (single-molecule sequencing [smsDGE] ch7)
# mrna.lipson.rs08 = Lipson et al. 2009 (single-molecule sequencing [smsDGE] ch8)
# mrna.lipson.rs09 = Lipson et al. 2009 (single-molecule sequencing [smsDGE] ch9)
# mrna.lipson.rs10 = Lipson et al. 2009 (single-molecule sequencing [smsDGE] ch10)
# mrna.lipson.rs11 = Lipson et al. 2009 (single-molecule sequencing [smsDGE] ch11)
# mrna.lipson.rs12 = Lipson et al. 2009 (single-molecule sequencing [smsDGE] ch12)
# mrna.lipson.ma = Lipson et al. 2009 (Affymetrix Yeast Genome 2.0 array)
# mrna.mackay = MacKay et al. 2004 (custom microarray)
# mrna.miura.1 = Miura et al. 2008 (competitive PCR, replicate 1)
# mrna.miura.2 = Miura et al. 2008 (competitive PCR, replicate 2)
# mrna.miura.3 = Miura et al. 2008 (competitive PCR, replicate 3)
# mrna.miura.4 = Miura et al. 2008 (competitive PCR, replicate 4)
# mrna.nagalakshmi = Nagalakshmi et al. 2008 RNA-Seq
# mrna.pelechano = Pelechano & Ortin, 2010 (custom microarray)
# mrna.roth.a = Roth 1998 (a cells, Affymetrix yeast antisense A-D array)
# mrna.roth.alpha = Roth 1998 (alpha cells, Affymetrix yeast antisense A-D array)
# mrna.velc = Velculescu 1997 (SAGE)
# mrna.yassour.ypd0.1 = Yassour et al. 2009 RNA-Seq (YPD, 0 minutes, 1)
# mrna.yassour.ypd0.2 = Yassour et al. 2009 RNA-Seq (YPD, 0 minutes, 2)
# mrna.yassour.ypd15.1 = Yassour et al. 2009 RNA-Seq (YPD, 15 minutes, 1)
# mrna.yassour.ypd15.2 = Yassour et al. 2009 RNA-Seq (YPD, 15 minutes, 2)
# prot.gygi = Gygi et al. 1999 (2D gel scintillation counting)
# prot.futcher = Futcher et al. 1999 (2D gel scintillation counting)
# prot.washburn = Washburn et al. 2001 (LC MS/MS, reported by Greenbaum et al. Genome Biology 2003, Volume 4, Issue 9, Article 117, Supplementary Table 4)
# prot.peng = Peng et al. 2003 (LC MS/MS, reported by Greenbaum et al. Genome Biology 2003, Volume 4, Issue 9, Article 117, Supplementary Table 4)
# prot.ghaem = Ghaemmaghami et al. 2003 (anti-TAP-tag western)
# prot.newman = Newman et al. 2006 (GFP signal quantified by flow cytometry)
# prot.lu = Lu et al. 2007 (APEX protein-level estimates)
# prot.degodoy = de Godoy et al. 2008a (LC MS/MS MaxQuant intensity values)
# prot.thakur.1 = Thakur et al. 2011 (LC MS/MS MaxQuant intensity values, replicate 1)
# prot.thakur.2 = Thakur et al. 2011 (LC MS/MS MaxQuant intensity values, replicate 2)
# prot.thakur.3 = Thakur et al. 2011 (LC MS/MS MaxQuant intensity values, replicate 3)
# prot.lee.1 = Lee et al. 2011 (TMT intensity values, replicate 1)
# prot.lee.2 = Lee et al. 2011 (TMT intensity values, replicate 2)
# prot.lee.3 = Lee et al. 2011 (TMT intensity values, replicate 3)
# prot.nagaraj.1 = Nagaraj et al. 2012 (LC MS/MS MaxQuant intensity values, replicate 1)
# prot.nagaraj.2 = Nagaraj et al. 2012 (LC MS/MS MaxQuant intensity values, replicate 2)
# prot.nagaraj.3 = Nagaraj et al. 2012 (LC MS/MS MaxQuant intensity values, replicate 3)
# prot.nagaraj.4 = Nagaraj et al. 2012 (LC MS/MS MaxQuant intensity values, replicate 4)
# prot.nagaraj.5 = Nagaraj et al. 2012 (LC MS/MS MaxQuant intensity values, replicate 5)
# prot.nagaraj.6 = Nagaraj et al. 2012 (LC MS/MS MaxQuant intensity values, replicate 6)
orf	gene	mrna.causton.acid.a	mrna.causton.acid.b	mrna.causton.nacl	mrna.causton.peroxide.a	mrna.causton.peroxide.b	mrna.dudley.3a	mrna.dudley.3b	mrna.dudley.3c	mrna.dudley.3d	mrna.garcia	mrna.holstege	mrna.ingolia.1	mrna.ingolia.2	mrna.ingolia.ca	mrna.ingolia.ca.late	mrna.ingolia.rq	mrna.ingolia.rq.late	mrna.lipson.rs07	mrna.lipson.rs08	mrna.lipson.rs09	mrna.lipson.rs10	mrna.lipson.rs11	mrna.lipson.rs12	mrna.lipson.ma	mrna.mackay	mrna.miura.1	mrna.miura.2	mrna.miura.3	mrna.miura.4	mrna.nagalakshmi	mrna.pelechano	mrna.roth.a	mrna.roth.alpha	mrna.velc	mrna.yassour.ypd0.1	mrna.yassour.ypd0.2	mrna.yassour.ypd15.1	mrna.yassour.ypd15.2	prot.gygi	prot.futcher	prot.washburn	prot.peng	prot.ghaem	prot.newman	prot.lu	prot.degodoy	prot.thakur.1	prot.thakur.2	prot.thakur.3	prot.lee.1	prot.lee.2	prot.lee.3	prot.nagaraj.1	prot.nagaraj.2	prot.nagaraj.3	prot.nagaraj.4	prot.nagaraj.5	prot.nagaraj.6
Q0045	COX1	     NA	     NA	   NA	     NA	     NA	       NA	       NA	     NA	      NA	      NA	  NA	       NA	       NA	   37.62	   80.80	   16.87	   28.81	    0.2	    0.0	    0.7	    0.6	    0.3	    0.4	   NA	     NA	    NA	    NA	    NA	    NA	   5.0	      NA	   NA	   NA	 NA	      NA	      NA	      NA	      NA	   NA	    NA	 NA	NA	     NA	     NA	     NA	    55426000	        NA	       NA	       NA	            NA	           NA	            NA	   562800000	   313360000	  947020000	   359510000	   579270000	  691460000
Q0050	AI1	     NA	     NA	   NA	     NA	     NA	       NA	       NA	     NA	      NA	      NA	  NA	       NA	       NA	   44.86	   76.33	   18.20	   20.89	    0.5	    0.4	    0.3	    0.1	    0.7	    0.3	   NA	     NA	    NA	    NA	    NA	    NA	    NA	      NA	   NA	   NA	 NA	      NA	      NA	      NA	      NA	   NA	    NA	 NA	NA	     NA	     NA	     NA	     4813500	        NA	       NA	       NA	            NA	           NA	            NA	    28901000	    27948000	   42207000	    14067000	    32957000	   66249000
Q0055	AI2	     NA	     NA	   NA	     NA	     NA	       NA	       NA	     NA	      NA	      NA	  NA	       NA	       NA	   19.24	   57.25	    6.68	   13.43	    0.1	    0.2	    0.1	    0.1	    0.0	    0.1	   NA	     NA	    NA	    NA	    NA	    NA	    NA	      NA	   NA	   NA	 NA	      NA	      NA	      NA	      NA	   NA	    NA	 NA	NA	     NA	     NA	     NA	     7553800	        NA	       NA	       NA	            NA	           NA	            NA	          NA	          NA	         NA	          NA	          NA	         NA
Q0060	AI3	     NA	     NA	   NA	     NA	     NA	       NA	       NA	     NA	      NA	      NA	  NA	       NA	       NA	    4.20	    6.36	    4.47	   10.45	    0.0	    0.0	    0.0	    0.0	    0.1	    0.1	   NA	     NA	    NA	    NA	    NA	    NA	    NA	      NA	   NA	   NA	 NA	      NA	      NA	      NA	      NA	   NA	    NA	 NA	NA	     NA	     NA	   1029	          NA	        NA	       NA	       NA	            NA	           NA	            NA	          NA	          NA	         NA	          NA	          NA	         NA
Q0065	AI4	     NA	     NA	   NA	     NA	     NA	       NA	       NA	     NA	      NA	      NA	  NA	       NA	       NA	   15.26	   38.16	   12.17	   17.91	    0.0	    0.0	    0.1	    0.0	    0.0	    0.1	   NA	     NA	    NA	    NA	    NA	    NA	    NA	      NA	   NA	   NA	 NA	      NA	      NA	      NA	      NA	   NA	    NA	 NA	NA	     NA	     NA	     NA	          NA	        NA	       NA	       NA	            NA	           NA	            NA	          NA	          NA	         NA	          NA	          NA	         NA
Q0070	AI5_ALPHA	     NA	     NA	   NA	     NA	     NA	       NA	       NA	     NA	      NA	      NA	  NA	       NA	       NA	    9.39	   19.08	    5.46	   13.43	    0.0	    0.7	    0.2	    0.6	    0.3	    0.0	   NA	     NA	    NA	    NA	    NA	    NA	    NA	      NA	   NA	   NA	 NA	      NA	      NA	      NA	      NA	   NA	    NA	 NA	NA	     NA	     NA	     NA	          NA	        NA	       NA	       NA	            NA	           NA	            NA	          NA	          NA	         NA	          NA	          NA	         NA
Q0075	AI5_BETA	     NA	     NA	   NA	     NA	     NA	       NA	       NA	     NA	      NA	      NA	  NA	       NA	       NA	    3.28	    6.30	   13.49	   19.21	    0.0	    0.0	    0.2	    0.0	    0.2	    0.2	   NA	     NA	    NA	    NA	    NA	    NA	    NA	      NA	   NA	   NA	 NA	      NA	      NA	      NA	      NA	   NA	    NA	 NA	NA	     NA	     NA	     NA	          NA	        NA	       NA	       NA	            NA	           NA	            NA	          NA	          NA	         NA	          NA	          NA	         NA
Q0080	ATP8	     NA	     NA	   NA	     NA	     NA	       NA	       NA	     NA	      NA	      NA	  NA	    9.249	   24.633	   18.10	   32.97	   35.07	   61.87	    0.0	    0.0	    0.0	    0.0	    0.0	    0.0	   NA	     NA	    NA	    NA	    NA	    NA	   7.0	      NA	   NA	   NA	 NA	      NA	      NA	      NA	      NA	   NA	    NA	 NA	NA	     NA	     NA	     NA	          NA	        NA	       NA	       NA	            NA	           NA	            NA	          NA	          NA	         NA	          NA	          NA	         NA
Q0085	ATP6	     NA	     NA	   NA	     NA	     NA	       NA	       NA	     NA	      NA	      NA	  NA	   16.742	    9.748	   28.12	   41.34	    9.26	   13.43	    0.4	    0.2	    0.1	    0.6	    0.8	    0.6	   NA	     NA	    NA	    NA	    NA	    NA	   9.0	      NA	   NA	   NA	 NA	      NA	      NA	      NA	      NA	   NA	    NA	 NA	NA	     NA	     NA	     NA	   303940000	        NA	       NA	       NA	            NA	           NA	            NA	          NA	          NA	         NA	          NA	          NA	         NA
Q0105	COB	     NA	     NA	   NA	     NA	     NA	       NA	       NA	     NA	      NA	      NA	  NA	       NA	       NA	   21.82	   39.73	   11.63	   20.51	    0.1	    0.4	    0.0	    0.0	    0.1	    0.2	   NA	     NA	    NA	    NA	    NA	    NA	  14.0	      NA	   NA	   NA	 NA	      NA	      NA	      NA	      NA	   NA	    NA	 NA	NA	     NA	     NA	     NA	    52099000	        NA	       NA	       NA	            NA	           NA	            NA	          NA	          NA	         NA	          NA	          NA	         NA
Q0110	BI2	     NA	     NA	   NA	     NA	     NA	       NA	       NA	     NA	      NA	      NA	  NA	       NA	       NA	   10.55	   19.08	    3.25	    1.49	    0.2	    0.1	    0.2	    0.3	    0.2	    0.3	   NA	     NA	    NA	    NA	    NA	    NA	    NA	      NA	   NA	   NA	 NA	      NA	      NA	      NA	      NA	   NA	    NA	 NA	NA	     NA	     NA	     NA	          NA	        NA	       NA	       NA	            NA	           NA	            NA	          NA	          NA	         NA	          NA	          NA	         NA
Q0115	BI3	     NA	     NA	   NA	     NA	     NA	       NA	       NA	     NA	      NA	      NA	  NA	       NA	       NA	    2.45	    3.18	    0.79	    0.00	    0.1	    0.0	    0.1	    0.0	    0.1	    0.2	   NA	     NA	    NA	    NA	    NA	    NA	    NA	      NA	   NA	   NA	 NA	      NA	      NA	      NA	      NA	   NA	    NA	 NA	NA	     NA	     NA	     NA	          NA	        NA	       NA	       NA	            NA	           NA	            NA	          NA	          NA	         NA	          NA	          NA	         NA
Q0120	BI4	     NA	     NA	   NA	     NA	     NA	       NA	       NA	     NA	      NA	      NA	  NA	       NA	       NA	    2.99	    6.36	    1.81	    5.97	    0.2	    0.1	    0.0	    0.0	    0.1	    0.0	   NA	     NA	    NA	    NA	    NA	    NA	    NA	      NA	   NA	   NA	 NA	      NA	      NA	      NA	      NA	   NA	    NA	 NA	NA	     NA	     NA	     NA	          NA	        NA	       NA	       NA	            NA	           NA	            NA	          NA	          NA	         NA	          NA	          NA	         NA
