# Ribosome density, mRNA level, and translational efficiency measurements for haploid budding yeast (S.cerevisiae) growing exponentially in rich medium with glucose 
#
# Generated Tue Apr 07 00:00:36 2015 
#
# Citation:
#   "Accounting for experimental noise reveals that transcript levels,
#   amplified by post-transcriptional regulation, largely determine steady-state protein levels in yeast,"
#   Gábor Csárdi, Alexander Franks, David S. Choi, Eduardo M. Airoldi, and D. Allan Drummond, PLoS Genetics, 2015
#
# orf = Systematic yeast ORF (open reading frame) identifier
# gene = Common gene name
# ing1 = Ingolia et al. 2009 mRNA (average of two replicates)
# ger1 = Gerashchenko et al. 2012 mRNA
# mcm1 = McManus et al. 2014 mRNA
# sub1 = Subtelny et al. 2014 mRNA
# rd.ing1 = Ingolia et al. 2009 ribosome footprint density (average of two replicates)
# rd.ger1 = Gerashchenko et al. 2012 ribosome footprint density
# rd.ger2 = Gerashchenko et al. 2014 ribosome footprint density
# rd.mcm1 = McManus et al. 2014 ribosome footprint density (average of two replicates)
# rd.sub1 = Subtelny et al. 2014 ribosome footprint density
# mrna.median = Median of normalized mRNA measurements from ribosome profiling studies, excluding Ingolia et al. 2009
# mrna.n = Number of mRNA-level measurements from ribosome profiling studies, excluding Ingolia et al. 2009
# rd.median = Median of normalized ribosome footprint density measurements
# rd.n = Number of ribosome footprint density measurements from ribosome profiling studies
# te = Translational efficiency (rd.median/mrna.median)
orf	gene	ing1	ger1	mcm1	sub1	rd.ing1	rd.ger1	rd.ger2	rd.mcm1	rd.sub1	mrna.median	mrna.n	rd.median	rd.n	te
Q0045	COX1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA
Q0050	AI1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA
Q0055	AI2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA
Q0060	AI3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA
Q0065	AI4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA
Q0070	AI5_ALPHA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA
Q0075	AI5_BETA	NA	0.067097	NA	NA	NA	NA	NA	NA	NA	0.067097	1	NA	0	NA
Q0080	ATP8	0.30638	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA
Q0085	ATP6	0.23954	0.015870	NA	NA	NA	NA	NA	NA	NA	0.015870	1	NA	0	NA
Q0105	COB	NA	0.008743	NA	NA	NA	NA	NA	NA	NA	0.008743	1	NA	0	NA
Q0110	BI2	NA	0.005262	NA	NA	NA	NA	NA	NA	NA	0.005262	1	NA	0	NA
Q0115	BI3	NA	0.001060	NA	NA	NA	NA	NA	NA	NA	0.001060	1	NA	0	NA
Q0120	BI4	NA	0.005091	NA	NA	NA	NA	NA	NA	NA	0.005091	1	NA	0	NA
Q0130	OLI1	6.75377	0.247132	NA	NA	0.04939	NA	NA	NA	NA	0.247132	1	0.049391	1	0.19986
Q0140	VAR1	NA	0.037944	NA	NA	NA	NA	NA	NA	NA	0.037944	1	NA	0	NA
Q0160	SCEI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA
Q0250	COX2	0.79297	0.004700	NA	NA	0.03272	NA	NA	NA	NA	0.004700	1	0.032719	1	6.96136
