SystematicName,40 fL,45 fL,50 fL,55 fL,60 fL,65 fL,70 fL,75 fL,Gene
Q0010,0.144710601,-0.420886575,NA,-1.257387843,-1.479780264,-0.110546454,1.154425756,1.149576356,NA
Q0017,-1.323898457,-0.711179155,0.316531079,0.617641813,-0.498061409,0.207760484,0.074958766,0.371553299,NA
Q0032,NA,NA,NA,NA,NA,2.565597176,1.056583528,NA,NA
Q0045,0.25175335,-0.339004468,-0.595490528,-0.281424022,-0.63274874,0.469102656,0.630906313,-0.064268654,COX1
Q0050,-0.783822361,-0.635302276,-0.622401186,-0.221632188,-0.064788213,0.760434029,0.76584911,-0.12386087,AI1
Q0055,-0.368646982,-0.59480641,-0.669657033,-0.107616809,-0.243508602,0.598586415,0.725258941,-0.008008862,AI2
Q0060,-0.143204944,-0.878426046,-0.711895052,-0.340720832,-0.072940304,0.691200144,0.690465762,-0.042099133,AI3
Q0065,-0.37726543,-1.024806667,-1.295981461,-0.138977687,-0.325218682,0.748952286,0.83736692,0.211225882,AI4
Q0070,-0.439416849,-0.304733232,-0.613004882,-0.4920118,0.084594148,-0.05482626,0.863797188,0.316363055,AI5_ALPHA
Q0075,-0.450466575,-0.581594077,-0.515826307,-0.198534623,0.063123166,0.57027443,0.709868737,-0.210971726,AI5_BETA
Q0080,-1.313363406,-0.092898433,-1.03246258,0.374227577,-0.636977878,0.835940538,0.543842488,-0.015911403,ATP8
Q0085,0.070067548,-0.624069953,-1.050310378,-0.279431514,-0.157789025,0.578274603,0.690207882,-0.012111569,ATP6
Q0092,NA,1.819964971,NA,2.160040413,NA,NA,NA,NA,NA
Q0105,-0.028975525,-0.718645008,-0.752901059,-0.31954105,-0.151154319,0.835417595,0.464424825,-0.069736598,COB
Q0110,-0.496091263,-0.814719711,-1.390721344,0.282316923,0.026268947,0.995414765,0.35936076,-0.26873082,BI2
Q0115,-0.958161722,-0.769214284,-0.697591356,0.001899533,-0.29183167,0.664065047,0.492739856,0.557887858,BI3
Q0120,-0.220555997,-0.983010802,-0.888131804,-0.086911668,-0.329943856,0.733101477,0.699548917,0.100601085,BI4
Q0130,-0.469497758,-0.373276234,-0.71729296,0.178970141,-0.207244103,0.59587886,0.299670319,0.21038536,OLI1
Q0140,-1.008227204,-0.916886892,-0.830986819,0.644278037,-0.734233586,0.576735297,0.281279413,0.623128202,VAR1
Q0142,1.796192314,-0.492758459,-0.726744332,-1.192179684,-1.07162076,-1.253004877,-0.149792374,-0.032586047,NA
Q0143,1.111317023,0.007694392,NA,0.34387647,NA,0.260460462,0.383842878,0.08731156,NA
Q0144,NA,NA,-0.010888316,NA,0.230119783,2.266645659,0.032180406,NA,NA
Q0160,0.224515593,0.07946526,-0.683297737,0.27598116,-0.197673131,0.300691491,0.118111188,-0.410374731,SCEI
Q0182,-0.715858515,-0.075487319,-0.207711611,-0.179016178,-0.393014714,0.676676986,-1.078428594,0.894826551,NA
Q0250,-0.313045339,-0.647797047,-0.821647095,-0.316108794,-0.050106568,0.640503,0.920099598,-0.375585595,COX2
Q0255,-0.048515748,-1.16121588,-1.173288713,-0.299922151,-0.395681134,0.671674134,0.740857699,0.385164158,NA
