# mRNA and protein levels, scaled to (average) molecules per haploid cell, sampled according to mean and variance of SCM estimates, for haploid budding yeast (S.cerevisiae) growing exponentially in rich medium with glucose 
#
# Generated Tue Apr 07 00:00:36 2015 
#
# Citation:
#   "Accounting for experimental noise reveals that transcript levels,
#   amplified by post-transcriptional regulation, largely determine steady-state protein levels in yeast,"
#   Gábor Csárdi, Alexander Franks, David S. Choi, Eduardo M. Airoldi, and D. Allan Drummond, PLoS Genetics, 2015
#
# orf = Systematic yeast ORF (open reading frame) identifier
# gene = Common gene name
# mrna = Messenger RNA level
# prot = Protein level
# n.mrna = Number of mRNA-level measurements
# n.prot = Number of protein-level measurements
orf	gene	mrna	prot	n.mrna	n.prot
Q0045	COX1	0.3644	26.3481	3	2
Q0050	AI1	0.1760	7.3660	2	1
Q0055	AI2	0.2166	2.7782	2	1
Q0060	AI3	0.0738	1.7394	2	1
Q0065	AI4	0.1791	1.3427	2	0
Q0070	AI5_ALPHA	0.1235	2.4008	2	0
Q0075	AI5_BETA	0.0364	0.8236	2	0
Q0080	ATP8	0.1270	1.2815	2	0
Q0085	ATP6	0.2981	8.7953	3	1
Q0105	COB	0.2018	5.3154	3	1
Q0110	BI2	0.1593	2.5306	2	0
Q0115	BI3	0.1730	3.7582	2	0
Q0120	BI4	0.0542	0.3929	2	0
Q0130	OLI1	1.1533	25.0316	3	2
Q0140	VAR1	0.4488	2.6533	2	2
Q0160	SCEI	0.0300	1.0865	2	0
Q0250	COX2	0.2887	0.7399	2	1
Q0255		0.0891	0.5611	2	0
Q0275	COX3	0.1277	5.7771	3	1
R0010W	FLP1	0.3078	3.3339	1	0
R0020C	REP1	0.4194	9.9022	2	3
R0030W	RAF1	0.6473	25.7932	2	2
R0040C	REP2	1.2724	60.4468	2	3
YAL001C	TFC3	2.3199	231.4955	11	4
YAL002W	VPS8	1.3113	130.1370	9	2
YAL003W	EFB1	22.2778	109369.4581	12	9
YAL005C	SSA1	136.3567	94382.7739	12	9
YAL007C	ERP2	21.0197	9804.6340	12	5
YAL008W	FUN14	3.9024	620.5925	13	4
YAL009W	SPO7	2.8126	569.0766	12	1
YAL010C	MDM10	1.5369	62.4034	9	3
YAL011W	SWC3	2.0104	619.7485	11	3
YAL012W	CYS3	15.9109	12770.6667	13	10
YAL013W	DEP1	2.7027	382.3982	11	2
YAL014C	SYN8	2.7602	754.3749	13	2
YAL015C	NTG1	2.7309	767.5271	12	3
YAL016W	TPD3	12.3483	3674.9297	13	7
YAL017W	PSK1	2.0192	335.7638	12	5
YAL018C	LDS1	0.1972	18.9637	8	0
YAL019W	FUN30	5.9582	1814.6917	12	8
YAL020C	ATS1	1.6791	342.3338	11	1
YAL021C	CCR4	8.7648	1930.2633	12	9
YAL022C	FUN26	1.5901	540.0394	13	3
YAL023C	PMT2	6.3084	11633.1898	13	8
YAL024C	LTE1	1.2796	210.4106	11	3
YAL025C	MAK16	2.8529	988.0474	12	3
YAL026C	DRS2	2.5423	492.6836	7	5
YAL027W	SAW1	1.5685	447.1908	11	1
YAL028W	FRT2	2.1498	202.2610	11	1
YAL029C	MYO4	5.5855	1265.0122	12	6
YAL030W	SNC1	5.1957	1512.1109	12	4
YAL031C	GIP4	0.8340	225.1937	10	4
YAL032C	PRP45	2.6469	148.6407	10	4
YAL033W	POP5	6.3975	3804.5385	12	4
YAL034C	FUN19	0.7166	295.9722	12	0
YAL034W-A	MTW1	1.9719	246.3149	10	4
YAL035W	FUN12	20.5518	28908.1036	12	8
YAL036C	RBG1	11.4999	5858.9903	13	6
YAL037C-A		0.6058	80.7657	4	0
YAL037W		0.9551	130.1690	9	0
YAL038W	CDC19	99.2177	341675.1779	11	8
YAL039C	CYC3	3.1209	808.7166	12	5
YAL040C	CLN3	2.4028	2570.6997	13	0
YAL041W	CDC24	4.1772	1317.8850	11	6
YAL042W	ERV46	3.0750	2890.4526	12	3
YAL043C	PTA1	7.5888	1304.1773	12	5
YAL044C	GCV3	12.2265	20566.2248	12	8
YAL044W-A		2.4508	656.5372	5	4
YAL046C	AIM1	2.3163	567.1784	12	3
YAL047C	SPC72	1.2477	272.4028	10	3
YAL048C	GEM1	1.8569	141.7342	11	2
YAL049C	AIM2	7.2607	7139.8496	13	5
YAL051W	OAF1	1.0952	294.7275	11	4
YAL053W	FLC2	3.0645	868.0585	12	3
YAL054C	ACS1	2.6524	158.8591	11	4
YAL055W	PEX22	2.7384	860.9483	13	1
YAL056W	GPB2	1.5704	679.3452	13	2
YAL058W	CNE1	3.5256	840.9637	10	3
YAL059W	ECM1	8.4708	1513.0710	12	5
YAL060W	BDH1	10.3629	4056.7374	13	6
YAL061W	BDH2	3.4670	470.2833	12	3
YAL062W	GDH3	0.6824	129.8535	13	4
YAL063C	FLO9	0.6429	49.5700	7	0
YAL063C-A		0.5468	10.2892	3	0
YAL064C-A	TDA8	0.1885	7.1984	3	0
YAL064W		0.2625	10.7019	3	0
YAL064W-B		0.5136	16.9118	6	0
YAL065C		0.5448	27.0178	7	0
YAL067C	SEO1	0.4504	16.1980	8	0
YAL067W-A		0.0193	0.0617	1	0
YAL068C	PAU8	1.2652	123.5170	6	0
YAR002C-A	ERP1	23.5495	8925.6918	9	5
YAR002W	NUP60	5.1726	1624.5056	12	6
YAR003W	SWD1	2.9714	394.8688	11	4
YAR007C	RFA1	7.4556	483.2228	12	7
YAR008W	SEN34	3.2373	472.9758	11	2
YAR009C		3.2231	782.3704	6	2
YAR010C		3.0534	805.9127	7	1
YAR014C	BUD14	3.3126	1666.0395	11	5
YAR015W	ADE1	13.2832	10663.2235	13	10
YAR018C	KIN3	1.9341	771.0292	11	2
YAR019C	CDC15	1.9264	483.8601	11	3
YAR020C	PAU7	1.8044	363.0516	8	0
YAR023C		1.2035	263.8734	11	0
YAR027W	UIP3	2.6096	1669.0859	13	4
YAR028W		4.2767	639.5757	12	4
YAR029W		1.2072	87.0577	9	0
YAR031W	PRM9	0.9937	41.4181	11	2
YAR033W	MST28	1.6862	175.9665	11	1
YAR035C-A		0.0692	1.3098	2	0
YAR035W	YAT1	3.3272	177.9023	10	2
YAR042W	SWH1	1.5152	189.3058	12	3
