# SCM-normalized mRNA and protein measurements 
#
# Generated Thu Nov 27 20:26:30 2014 
#
# Citation:
#   "Accounting for experimental noise reveals that transcript levels,
#   amplified by post-transcriptional regulation, largely determine steady-state protein levels in yeast,"
#   Gábor Csárdi, Alexander Franks, David S. Choi, Eduardo M. Airoldi, and D. Allan Drummond, PLoS Genetics, 2015
#
# orf = Systematic yeast ORF (open reading frame) identifier
# gene = Common gene name
# mrna.causton.acid.a = Causton et al. 2001 (acid treatment, 0 min, replicate a)
# mrna.causton.acid.b = Causton et al. 2001 (acid treatment, 0 min, replicate b)
# mrna.causton.nacl = Causton et al. 2001 (NaCl treatment, 0 min)
# mrna.causton.peroxide.a = Causton et al. 2001 (peroxide treatment, 0 min, replicate a)
# mrna.causton.peroxide.b = Causton et al. 2001 (peroxide treatment, 0 min, replicate b)
# mrna.dudley.3a = Dudley et al. 2002 (+glucose oligo slide 3a)
# mrna.dudley.3b = Dudley et al. 2002 (+glucose oligo slide 3b)
# mrna.dudley.3c = Dudley et al. 2002 (+glucose oligo slide 3c)
# mrna.dudley.3d = Dudley et al. 2002 (+glucose oligo slide 3d)
# mrna.garcia = Garcia-Martinez et al. 2004 (custom microarray)
# mrna.holstege = Holstege et al. 1998 (Affymetrix GeneChip YE6100 array)
# mrna.ingolia.1 = Ingolia et al. 2009 RNA-Seq (mRNA, rich medium, 1)
# mrna.ingolia.2 = Ingolia et al. 2009 RNA-Seq (mRNA, rich medium, 2)
# mrna.ingolia.ca = Ingolia 2010 (RNA-Seq, circular amplification)
# mrna.ingolia.ca.late = Ingolia 2010 (RNA-Seq, circular amplification, late)
# mrna.ingolia.rq = Ingolia 2010 (RNA-Seq, requantified)
# mrna.ingolia.rq.late = Ingolia 2010 RNA-Seq, requantified, late)
# mrna.lipson.rs07 = Lipson et al. 2009 (single-molecule sequencing [smsDGE] ch7)
# mrna.lipson.rs08 = Lipson et al. 2009 (single-molecule sequencing [smsDGE] ch8)
# mrna.lipson.rs09 = Lipson et al. 2009 (single-molecule sequencing [smsDGE] ch9)
# mrna.lipson.rs10 = Lipson et al. 2009 (single-molecule sequencing [smsDGE] ch10)
# mrna.lipson.rs11 = Lipson et al. 2009 (single-molecule sequencing [smsDGE] ch11)
# mrna.lipson.rs12 = Lipson et al. 2009 (single-molecule sequencing [smsDGE] ch12)
# mrna.lipson.ma = Lipson et al. 2009 (Affymetrix Yeast Genome 2.0 array)
# mrna.mackay = MacKay et al. 2004 (custom microarray)
# mrna.miura.1 = Miura et al. 2008 (competitive PCR, replicate 1)
# mrna.miura.2 = Miura et al. 2008 (competitive PCR, replicate 2)
# mrna.miura.3 = Miura et al. 2008 (competitive PCR, replicate 3)
# mrna.miura.4 = Miura et al. 2008 (competitive PCR, replicate 4)
# mrna.nagalakshmi = Nagalakshmi et al. 2008 RNA-Seq
# mrna.pelechano = Pelechano & Ortin, 2010 (custom microarray)
# mrna.roth.a = Roth 1998 (a cells, Affymetrix yeast antisense A-D array)
# mrna.roth.alpha = Roth 1998 (alpha cells, Affymetrix yeast antisense A-D array)
# mrna.velc = Velculescu 1997 (SAGE)
# mrna.yassour.ypd0.1 = Yassour et al. 2009 RNA-Seq (YPD, 0 minutes, 1)
# mrna.yassour.ypd0.2 = Yassour et al. 2009 RNA-Seq (YPD, 0 minutes, 2)
# mrna.yassour.ypd15.1 = Yassour et al. 2009 RNA-Seq (YPD, 15 minutes, 1)
# mrna.yassour.ypd15.2 = Yassour et al. 2009 RNA-Seq (YPD, 15 minutes, 2)
# prot.gygi = Gygi et al. 1999 (2D gel scintillation counting)
# prot.futcher = Futcher et al. 1999 (2D gel scintillation counting)
# prot.washburn = Washburn et al. 2001 (LC MS/MS, reported by Greenbaum et al. Genome Biology 2003, Volume 4, Issue 9, Article 117, Supplementary Table 4)
# prot.peng = Peng et al. 2003 (LC MS/MS, reported by Greenbaum et al. Genome Biology 2003, Volume 4, Issue 9, Article 117, Supplementary Table 4)
# prot.ghaem = Ghaemmaghami et al. 2003 (anti-TAP-tag western)
# prot.newman = Newman et al. 2006 (GFP signal quantified by flow cytometry)
# prot.lu = Lu et al. 2007 (APEX protein-level estimates)
# prot.degodoy = de Godoy et al. 2008a (LC MS/MS MaxQuant intensity values)
# prot.thakur.1 = Thakur et al. 2011 (LC MS/MS MaxQuant intensity values, replicate 1)
# prot.thakur.2 = Thakur et al. 2011 (LC MS/MS MaxQuant intensity values, replicate 2)
# prot.thakur.3 = Thakur et al. 2011 (LC MS/MS MaxQuant intensity values, replicate 3)
# prot.lee.1 = Lee et al. 2011 (TMT intensity values, replicate 1)
# prot.lee.2 = Lee et al. 2011 (TMT intensity values, replicate 2)
# prot.lee.3 = Lee et al. 2011 (TMT intensity values, replicate 3)
# prot.nagaraj.1 = Nagaraj et al. 2012 (LC MS/MS MaxQuant intensity values, replicate 1)
# prot.nagaraj.2 = Nagaraj et al. 2012 (LC MS/MS MaxQuant intensity values, replicate 2)
# prot.nagaraj.3 = Nagaraj et al. 2012 (LC MS/MS MaxQuant intensity values, replicate 3)
# prot.nagaraj.4 = Nagaraj et al. 2012 (LC MS/MS MaxQuant intensity values, replicate 4)
# prot.nagaraj.5 = Nagaraj et al. 2012 (LC MS/MS MaxQuant intensity values, replicate 5)
# prot.nagaraj.6 = Nagaraj et al. 2012 (LC MS/MS MaxQuant intensity values, replicate 6)
orf	gene	mrna.causton.acid.a	mrna.causton.acid.b	mrna.causton.nacl	mrna.causton.peroxide.a	mrna.causton.peroxide.b	mrna.dudley.3a	mrna.dudley.3b	mrna.dudley.3c	mrna.dudley.3d	mrna.garcia	mrna.holstege	mrna.ingolia.1	mrna.ingolia.2	mrna.ingolia.ca	mrna.ingolia.ca.late	mrna.ingolia.rq	mrna.ingolia.rq.late	mrna.lipson.rs07	mrna.lipson.rs08	mrna.lipson.rs09	mrna.lipson.rs10	mrna.lipson.rs11	mrna.lipson.rs12	mrna.lipson.ma	mrna.mackay	mrna.miura.1	mrna.miura.2	mrna.miura.3	mrna.miura.4	mrna.nagalakshmi	mrna.pelechano	mrna.roth.a	mrna.roth.alpha	mrna.velc	mrna.yassour.ypd0.1	mrna.yassour.ypd0.2	mrna.yassour.ypd15.1	mrna.yassour.ypd15.2	prot.gygi	prot.futcher	prot.washburn	prot.peng	prot.ghaem	prot.newman	prot.lu	prot.degodoy	prot.thakur.1	prot.thakur.2	prot.thakur.3	prot.lee.1	prot.lee.2	prot.lee.3	prot.nagaraj.1	prot.nagaraj.2	prot.nagaraj.3	prot.nagaraj.4	prot.nagaraj.5	prot.nagaraj.6
Q0045	COX1	       NA	       NA	      NA	        NA	       NA	       NA	       NA	       NA	       NA	       NA	     NA	       NA	        NA	-1.078054	-1.20638	-0.134438	-0.072460	-5.489864	       NA	-4.238118	-4.40374	-5.0896905	-4.81257	       NA	       NA	      NA	      NA	       NA	     NA	-1.41350	       NA	   NA	     NA	   NA	        NA	       NA	       NA	       NA	   NA	  NA	   NA	  NA	      NA	      NA	   NA	-0.6042965	    NA	   NA	   NA	       NA	      NA	     NA	 1.89841	 1.07336	 2.19111	 1.4087453	 1.51368	 1.57522
Q0050	AI1	       NA	       NA	      NA	        NA	       NA	       NA	       NA	       NA	       NA	       NA	     NA	       NA	        NA	-1.002170	-1.52784	 0.041573	-0.129371	-4.573573	-4.795364	-5.085416	-6.19549	-4.2423926	-5.10026	       NA	       NA	      NA	      NA	       NA	     NA	      NA	       NA	   NA	     NA	   NA	        NA	       NA	       NA	       NA	   NA	  NA	   NA	  NA	      NA	      NA	   NA	        NA	    NA	   NA	   NA	       NA	      NA	     NA	-1.51647	-1.78948	-1.36546	-2.2780026	-1.79872	-1.21600
Q0055	AI2	       NA	       NA	      NA	        NA	       NA	       NA	       NA	       NA	       NA	       NA	     NA	       NA	        NA	-2.004473	-1.96961	-0.804982	-0.417009	-6.183011	-5.488511	-6.184028	-6.19549	        NA	-6.19887	       NA	       NA	      NA	      NA	       NA	     NA	      NA	       NA	   NA	     NA	   NA	        NA	       NA	       NA	       NA	   NA	  NA	   NA	  NA	      NA	      NA	   NA	-2.5972946	    NA	   NA	   NA	       NA	      NA	     NA	      NA	      NA	      NA	        NA	      NA	      NA
Q0060	AI3	       NA	       NA	      NA	        NA	       NA	       NA	       NA	       NA	       NA	       NA	     NA	       NA	        NA	-2.406203	-2.22050	-2.326889	-2.614409	       NA	       NA	       NA	      NA	-6.1883027	-6.19887	       NA	       NA	      NA	      NA	       NA	     NA	      NA	       NA	   NA	     NA	   NA	        NA	       NA	       NA	       NA	   NA	  NA	   NA	  NA	      NA	      NA	 5.52	        NA	    NA	   NA	   NA	       NA	      NA	     NA	      NA	      NA	      NA	        NA	      NA	      NA
Q0065	AI4	       NA	       NA	      NA	        NA	       NA	       NA	       NA	       NA	       NA	       NA	     NA	       NA	        NA	-1.404617	-1.68175	-1.036738	-0.822649	       NA	       NA	-6.184028	      NA	        NA	-6.19887	       NA	       NA	      NA	      NA	       NA	     NA	      NA	       NA	   NA	     NA	   NA	        NA	       NA	       NA	       NA	   NA	  NA	   NA	  NA	      NA	      NA	   NA	        NA	    NA	   NA	   NA	       NA	      NA	     NA	      NA	      NA	      NA	        NA	      NA	      NA
Q0070	AI5_ALPHA	       NA	       NA	      NA	        NA	       NA	       NA	       NA	       NA	       NA	       NA	     NA	       NA	        NA	-2.206143	-1.96961	-1.522328	-1.515796	       NA	-4.235748	-5.490881	-4.40374	-5.0896905	      NA	       NA	       NA	      NA	      NA	       NA	     NA	      NA	       NA	   NA	     NA	   NA	        NA	       NA	       NA	       NA	   NA	  NA	   NA	  NA	      NA	      NA	   NA	        NA	    NA	   NA	   NA	       NA	      NA	     NA	      NA	      NA	      NA	        NA	      NA	      NA
Q0075	AI5_BETA	       NA	       NA	      NA	        NA	       NA	       NA	       NA	       NA	       NA	       NA	     NA	       NA	        NA	-1.301643	-1.61167	-2.574130	-2.623887	       NA	       NA	-5.490881	      NA	-5.4951556	-5.50572	       NA	       NA	      NA	      NA	       NA	     NA	      NA	       NA	   NA	     NA	   NA	        NA	       NA	       NA	       NA	   NA	  NA	   NA	  NA	      NA	      NA	   NA	        NA	    NA	   NA	   NA	       NA	      NA	     NA	      NA	      NA	      NA	        NA	      NA	      NA
Q0080	ATP8	       NA	       NA	      NA	        NA	       NA	       NA	       NA	       NA	       NA	       NA	     NA	-1.623810	-0.5908052	-0.346245	-0.44207	-0.866061	-0.968839	       NA	       NA	       NA	      NA	        NA	      NA	       NA	       NA	      NA	      NA	       NA	     NA	-1.07703	       NA	   NA	     NA	   NA	        NA	       NA	       NA	       NA	   NA	  NA	   NA	  NA	      NA	      NA	   NA	        NA	    NA	   NA	   NA	       NA	      NA	     NA	      NA	      NA	      NA	        NA	      NA	      NA
Q0085	ATP6	       NA	       NA	      NA	        NA	       NA	       NA	       NA	       NA	       NA	       NA	     NA	-1.030405	-1.5178301	-1.677887	-1.96961	-0.425492	-0.742606	-4.796717	-5.488511	-6.184028	-4.40374	-4.1088612	-4.40711	       NA	       NA	      NA	      NA	       NA	     NA	-0.82572	       NA	   NA	     NA	   NA	        NA	       NA	       NA	       NA	   NA	  NA	   NA	  NA	      NA	      NA	   NA	 1.0974850	    NA	   NA	   NA	       NA	      NA	     NA	      NA	      NA	      NA	        NA	      NA	      NA
Q0105	COB	       NA	       NA	      NA	        NA	       NA	       NA	       NA	       NA	       NA	       NA	     NA	       NA	        NA	-1.450003	-1.54619	-0.679146	-0.782330	-6.183011	-4.795364	       NA	      NA	-6.1883027	-5.50572	       NA	       NA	      NA	      NA	       NA	     NA	-0.38389	       NA	   NA	     NA	   NA	        NA	       NA	       NA	       NA	   NA	  NA	   NA	  NA	      NA	      NA	   NA	-0.6661996	    NA	   NA	   NA	       NA	      NA	     NA	      NA	      NA	      NA	        NA	      NA	      NA
Q0110	BI2	       NA	       NA	      NA	        NA	       NA	       NA	       NA	       NA	       NA	       NA	     NA	       NA	        NA	-2.724936	-4.16833	-1.405848	-1.515796	-5.489864	-6.181658	-5.490881	-5.09688	-5.4951556	-5.10026	       NA	       NA	      NA	      NA	       NA	     NA	      NA	       NA	   NA	     NA	   NA	        NA	       NA	       NA	       NA	   NA	  NA	   NA	  NA	      NA	      NA	   NA	        NA	    NA	   NA	   NA	       NA	      NA	     NA	      NA	      NA	      NA	        NA	      NA	      NA
Q0115	BI3	       NA	       NA	      NA	        NA	       NA	       NA	       NA	       NA	       NA	       NA	     NA	       NA	        NA	-4.139314	      NA	-2.865885	-3.307556	-6.183011	       NA	-6.184028	      NA	-6.1883027	-5.50572	       NA	       NA	      NA	      NA	       NA	     NA	      NA	       NA	   NA	     NA	   NA	        NA	       NA	       NA	       NA	   NA	  NA	   NA	  NA	      NA	      NA	   NA	        NA	    NA	   NA	   NA	       NA	      NA	     NA	      NA	      NA	      NA	        NA	      NA	      NA
