# SCM estimates of mRNA and protein levels, log-transformed and unscaled, for haploid budding yeast (S.cerevisiae) growing exponentially in rich medium with glucose 
#
# Generated Tue Apr 07 00:00:36 2015 
#
# Citation:
#   "Accounting for experimental noise reveals that transcript levels,
#   amplified by post-transcriptional regulation, largely determine steady-state protein levels in yeast,"
#   Gábor Csárdi, Alexander Franks, David S. Choi, Eduardo M. Airoldi, and D. Allan Drummond, PLoS Genetics, 2015
#
# orf = Systematic yeast ORF (open reading frame) identifier
# gene = Common gene name
# mrna = Messenger RNA level
# prot = Protein level
# sd.mrna = Standard deviation on estimates of log-transformed mRNA levels (mRNA lower bound = exp(log(mrna)-sd.mrna)), mRNA upper bound = exp(log(mrna)+sd.mrna)))
# sd.prot = Standard deviation on estimates of log-transformed protein levels (protein lower bound = exp(log(prot)-sd.prot)), protein upper bound = exp(log(prot)+sd.prot)))
# n.mrna = Number of mRNA-level measurements
# n.prot = Number of protein-level measurements
orf	gene	mrna	prot	sd.mrna	sd.prot	n.mrna	n.prot
Q0045	COX1	-2.270727	-1.866657	0.333	0.371	3	2
Q0050	AI1	-2.792885	-2.530647	0.414	0.480	2	1
Q0055	AI2	-3.110031	-2.612257	0.462	0.533	2	1
Q0060	AI3	-3.092963	-2.855079	0.443	0.541	2	1
Q0065	AI4	-3.096466	-2.898061	0.394	0.528	2	0
Q0070	AI5_ALPHA	-3.445668	-3.265203	0.472	0.610	2	0
Q0075	AI5_BETA	-3.047906	-2.913571	0.404	0.474	2	0
Q0080	ATP8	-2.656484	-2.464663	0.393	0.464	2	0
Q0085	ATP6	-2.323019	-1.898200	0.325	0.451	3	1
Q0105	COB	-2.403634	-2.110547	0.360	0.467	3	1
Q0110	BI2	-3.502073	-3.413536	0.519	0.594	2	0
Q0115	BI3	-3.351659	-3.107138	0.440	0.581	2	0
Q0120	BI4	-3.092816	-2.808495	0.472	0.540	2	0
Q0130	OLI1	-1.788558	-1.480936	0.372	0.394	3	2
Q0140	VAR1	-2.863469	-2.136908	0.428	0.470	2	2
Q0160	SCEI	-3.012430	-2.821676	0.457	0.493	2	0
Q0250	COX2	-2.470625	-2.057942	0.386	0.492	2	1
Q0255		-3.268712	-3.106757	0.427	0.571	2	0
Q0275	COX3	-2.541366	-2.171247	0.400	0.484	3	1
R0010W	FLP1	-2.416645	-2.360140	0.383	0.435	1	0
R0020C	REP1	-1.410399	-1.193503	0.375	0.442	2	3
R0030W	RAF1	-1.601692	-1.322270	0.381	0.396	2	2
R0040C	REP2	-1.623310	-1.159625	0.366	0.466	2	3
YAL001C	TFC3	-0.387236	-0.547191	0.261	0.325	11	4
YAL002W	VPS8	-0.586767	-0.455039	0.244	0.275	9	2
YAL003W	EFB1	2.403717	2.140783	0.264	0.338	12	9
YAL005C	SSA1	2.433106	2.866285	0.229	0.214	12	9
YAL007C	ERP2	0.917296	1.161767	0.253	0.222	12	5
YAL008W	FUN14	0.233489	0.270193	0.244	0.279	13	4
YAL009W	SPO7	-0.272906	-0.368472	0.269	0.317	12	1
YAL010C	MDM10	-0.653141	-0.498601	0.276	0.322	9	3
YAL011W	SWC3	-0.328532	-0.219616	0.274	0.307	11	3
YAL012W	CYS3	1.999027	1.892167	0.236	0.230	13	10
YAL013W	DEP1	0.066869	-0.074627	0.256	0.356	11	2
YAL014C	SYN8	0.258974	-0.098831	0.235	0.323	13	2
YAL015C	NTG1	0.005141	-0.273384	0.290	0.355	12	3
YAL016W	TPD3	1.002043	1.258998	0.248	0.241	13	7
YAL017W	PSK1	-0.038877	-0.032586	0.253	0.280	12	5
