!
!Date: 08/02/2024
!From: Saccharomyces Genome Database (SGD) 
!URL: http://www.yeastgenome.org/ 
!Contact Email: sgd-helpdesk@lists.stanford.edu 
!Funding: NHGRI at US NIH, grant number 5-U41-HG001315 
!

Gene/Complex	Systematic Name/Complex Accession	Qualifier	Gene Ontology Term ID	Gene Ontology Term	Aspect	Annotation Extension	Evidence	Method	Source	Assigned On	Reference
ECM1	YAL059W	involved in	GO:0042254	ribosome biogenesis	biological process		IEA with KW-0690	computational	UniProt	2024-06-10	UniProt-GOA (2012)
UTP20	YBL004W	involved in	GO:0042254	ribosome biogenesis	biological process		IEA with KW-0690	computational	UniProt	2024-06-10	UniProt-GOA (2012)
MAK5	YBR142W	involved in	GO:0042254	ribosome biogenesis	biological process		IEA with KW-0690	computational	UniProt	2024-06-10	UniProt-GOA (2012)
RPB5	YBR154C	involved in	GO:0042254	ribosome biogenesis	biological process		IEA with KW-0690	computational	UniProt	2024-06-10	UniProt-GOA (2012)
RPS6B	YBR181C	involved in	GO:0042254	ribosome biogenesis	biological process		IEA with KW-0690	computational	UniProt	2024-06-10	UniProt-GOA (2012)
RPS9B	YBR189W	involved in	GO:0042254	ribosome biogenesis	biological process		IEA with KW-0690	computational	UniProt	2024-06-10	UniProt-GOA (2012)
ENP1	YBR247C	involved in	GO:0042254	ribosome biogenesis	biological process		IEA with KW-0690	computational	UniProt	2024-06-10	UniProt-GOA (2012)
REI1	YBR267W	involved in	GO:0042254	ribosome biogenesis	biological process		IEA with KW-0690	computational	UniProt	2024-06-10	UniProt-GOA (2012)
RRP7	YCL031C	involved in	GO:0042254	ribosome biogenesis	biological process		IEA with KW-0690	computational	UniProt	2024-06-10	UniProt-GOA (2012)
SPB1	YCL054W	involved in	GO:0042254	ribosome biogenesis	biological process		IEA with KW-0690	computational	UniProt	2024-06-10	UniProt-GOA (2012)
KRR1	YCL059C	involved in	GO:0042254	ribosome biogenesis	biological process		IEA	computational	UniProt	2024-06-10	UniProt (2021)
KRR1	YCL059C	involved in	GO:0042254	ribosome biogenesis	biological process		IEA with KW-0690	computational	UniProt	2024-06-10	UniProt-GOA (2012)
RPS14A	YCR031C	involved in	GO:0042254	ribosome biogenesis	biological process		IEA with KW-0690	computational	UniProt	2024-06-10	UniProt-GOA (2012)
